Month,Year,Leadership,Event Type,Parties Involved,Description
May,2008,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Chris Hill meets Kim Kye-gwan in Beijing where they discuss North Korea's nuclear declaration and a submission timeline.
May,2008,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","North Korea gives Sung Kim 18,822 pages of documents related to its plutonium program in Pyongyang. The US delegation also holds discussions with DPRK interlocutors from the Foreign Ministry and the General Department of Atomic Energy on all aspects of their declaration."
Apr,2008,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Sung Kim leads a US interagency delegation to North Korea to discuss the tentative agreement reached between Chris Hill and Kim Kye-gwan on April 8.
Apr,2008,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Chris Hill meets Kim Kye-gwan in Singapore to discuss the Six-Party process. They reach a compromise on a tentative agreement.
Mar,2008,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","Chris Hill holds in depth discussions on many aspects of the nuclear issue with his North Korean counterpart, Kim Kye-gwan, in Geneva."
Feb,2008,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",DPRK Vice Foreign Minister Kim Kye-gwan flies to Beijing to meet with US Assistant Secretary of State Christopher Hill. In the unannounced talks they discuss the six party talks and declaration.
Jan,2008,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","Director of the US State Department's Office of Korea Affairs, Sung Kim, visits Pyongyang to discuss how to make progress on the six-party talks process."
Dec,2007,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Chris Hill has a full tour of disablement activities at Yongbyon and has further talks with Kim Kye-gwan in Pyongyang about the December 31 package and next steps.
Oct,2007,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Sung Kim and a team of experts continue discussions on the disabling of Yongbyon nuclear facilities in North Korea.  
Sep,2007,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Yasuo Fukuda, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia","The ""Second-Phase Actions for the Implementation of the September 2005 Joint Statement"" is adopted in which North Korea agrees to declare its entire nuclear program by December 31, 2007 and to disable its main nuclear facilities according to the February 13 agreement. The US agrees to remove North Korea's ""state sponsor of terrorism"" designation. All parties reaffirm their commitment to deliver the remaining 900,000 tons of heavy fuel oil to North Korea."
Sep,2007,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Sung Kim and a team of experts discuss the disabling of Yongbyon nuclear facilities in North Korea.  
Sep,2007,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","In talks with Chris Hill in Geneva, North Korea says they will provide a full declaration of all of their nuclear programs and will disable the programs by the end of 2007."
Jul,2007,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Shinzo Abe, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia","The 6th round of Six-Party Talks continue. Kim Kye-gwan says his country will declare all its nuclear programs without omitting anything, but the parties cannot agree on a hard deadline for disarming nuclear weapons."
Jun,2007,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Chris Hill visits Pyongyang at the invitation of the DPRK and meets with Foreign Minister Park Ui-chun. The meeting is part of ongoing consultations with the six parties on implementation of the Initial Actions agreement.
Mar,2007,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Shinzo Abe, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia",At the 6th round of Six Party Talks in Beijing the parties report on the first meetings of the five working group. North Korea refuses to engage in further talks until Banco Delta Asia accounts are unfrozen.
Mar,2007,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Meeting of US-DPRK Bilateral Working Group: Ambassador Chris Hill leads comprehensive discussions in New York on implementing the shutdown of the Yongbyon reactor and the reintroduction of IAEA personnel to monitor and verify those procedures.
Feb,2007,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Shinzo Abe, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia","An agreement is reached at the 5th round of Six Party Talks in Beijing called ""Initial Actions for the Implementation of the Joint Statement"". North Korea agrees to shut down and seal nuclear facilities at Yongbyon within 60 days and to allow IAEA monitoring and verification in exchange for 50,000 tons of heavy fuel oil."
Jan,2007,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Chris Hill meets with Kim Kye-gwan in Berlin to discuss reviving six party talks.
Dec,2006,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Junichiro Koizumi, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia","Second phase of 5th round of Six Party Talks. North Korea focuses almost exclusively on Banco Delta Asia designation, blocking progress."
Oct,2006,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","Chris Hill and Kim Kye-gwan meet in Beijing for talks after North Korea conducts its first nuclear weapons test on October 9, 2006."
Mar,2006,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",US and DPRK officials meet in New York to discuss the Banco Delta Asia action.
Jan,2006,"George W. Bush, Kim Jong-il, Hu Jintao",Political Dialogue (Nuclear),"US, DPRK, China","Christopher Hill, Kim Kye-gwan, and Wu Dawei meet in Beijing to discuss reviving the stalled Six Party Talks process."
Nov,2005,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Junichiro Koizumi, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia",The 5th round of Six Party Talks. North Korea focuses on Banco Delta Asia issue and little progress is made. The KEDO project is terminated later that month on November 29th.
Oct,2005,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Chris Hill and DPRK officials meet in New York for talks.
Sep,2005,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Junichiro Koizumi, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia",At the 4th round of Six Party Talks the parties agree on a joint statement of principles to guide future negotiations.
Jul,2005,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Junichiro Koizumi, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia",At the 4th round of Six Party Talks North Korea argues that dismantling nuclear weapons must be matched with assurances of regime security. The DPRK delegation also wants lifting of economic sanctions and normalization of relations with the US and Japan. The US delegation insists that dismantling must be verifiable and irreversible.
Jul,2005,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Chris Hill meets with Kim Kye-gwan. Pyongyang agrees to return to six-party talks.
Jun,2005,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",North Korean ambassador to the United Nations Pak Gil Yon and US special envoy to the Six-Party Talks Joseph DeTrani meet in New York to discuss resuming six-party talks.
May,2005,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","After a public appeal by North Korea, the US sends Ambassador Joseph R. DeTrani, the US special envoy to North Korea to the UN mission in New York to reiterate the US positions and assurances."
Dec,2004,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Joseph DeTrani meets DPRK representative in New York to urge a return to six-party talks without preconditions.
Nov,2004,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Joseph DeTrani meets DPRK representative in New York to urge a return to six-party talks without preconditions.
Nov,2004,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Junichiro Koizumi, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia",UN General Assembly President Jean Ping makes a visit to Pyongyang to meet with DPRK Foreign Minister Paek Nam-sun and President of the Supreme People's Assembly Presidium Kim Yong-nam.
Jul,2004,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Colin Powell meets with NK counterpart Paek Nam Sun in Jakarta. Powell says a deal depends on North Korea declaring all their nuclear activities.
Jun,2004,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Junichiro Koizumi, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia",The 3rd round of six-party talks are held and various comprehensive proposals are introduced by the US side. The DPRK side warns that North Korea will test a nuclear weapon unless its proposals are accepted.
Jun,2004,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Junichiro Koizumi, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia",The second working-level meeting to prepare for six-party talks.
May,2004,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Junichiro Koizumi, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia",United Nations Special Envoy Maurice Strong visits Pyongyang. North Korea says they will continue to develop their nuclear program.
May,2004,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Junichiro Koizumi, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia","At the six-party talks working-group meeting in Beijing, North Korea says they will never accept US demands for complete dismantlement."
Feb,2004,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Junichiro Koizumi, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia",The 2nd round of Six Party Talks in Beijing fail to make progress. Washington and Pyongyang disagree over the latter's desire to retain some nuclear capabilities for peaceful purposes.
Aug,2003,"George W. Bush, Kim Jong-il, Hu Jintao, Roh Moo-hyun, Junichiro Koizumi, Vladimir Putin",Political Dialogue (Nuclear),"US, DPRK, China, ROK, Japan, Russia","At the 1st round of Six-Party Talks in Beijing, no major breakthroughs are achieved. North Korea calls for a step-by-step solution and explicitly denies for the first time that it has a uranium-enrichment program. The North Korean officials also threaten to test nuclear weapons."
Jul,2003,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",US and DPRK representatives meet in New York to discuss a multilateral format for future high-level talks.
Apr,2003,"George W. Bush, Kim Jong-il, Hu Jintao",Political Dialogue (Nuclear),"US, DPRK, China","Three party talks in Beijing (US, NK and China). North Korea admits for the first time that they possess nuclear weapons but would be willing to get rid of all their nuclear programs if they get something considerable in return. On January 10, 2003 North Korea had announced its intent to withdraw from NPT."
Oct,2002,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","Assistant secretary of state for East Asian and Pacific Affairs, James Kelly, visits North Korea where he confronts Pyongyang over their HEU program. On the second day, Pyongyang admits to having an HEU program. Kelly advocates finding a comprehensive settlement."
Aug,2002,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Korean Peninsula Energy Development Organization (KEDO) delegation visits Pyongyang to discuss spent fuel rod storage with North Koreans. 
Aug,2002,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","Jack Pritchard, US Representative to KEDO, attends a ceremony to celebrate the initial building of the foundation for the first light water reactor and to discuss the project with North Koreans."
Jul,2002,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","US Secretary of State Colin Powell meets with North Korean Foreign Minister Paek Nam Sun in Brunei, on the sidelines of ASEAN Regional Forum."
Jun,2002,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","Ambassador Jack Pritchard, Special Envoy for Negotiations with the DPRK, meets with North Korean Ambassador Pak Kil Yon at North Korea's Permanent Mission to the UN in New York where they discuss dates for potential upcoming meetings."
Mar,2002,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",DPRK and US officials meet in New York to discuss resumption of talks with KEDO.
Dec,2001,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",DPRK officials and KEDO delegation engage in talks about the light water reactor project. Charles Kartman meets with Kim Song Su the DPRK project director for the light water reactors. The Quality and Assurance and Warranties Protocol is also signed.
Oct,2001,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",DPRK officials and KEDO delegation engage in talks about the light water reactor project.
Sep,2001,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",DPRK officials and KEDO delegation engage in talks about the light water reactor project.
Sep,2001,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",KEDO delegation visits Pyongyang to attend the groundbreaking ceremony for light water reactors.
Aug,2001,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",DPRK officials and KEDO delegation engage in talks about the light water reactor project.
Jul,2001,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",DPRK officials and KEDO members conduct negotiations on a quality assurance and warranties protocol for the light water reactors project.
Jun,2001,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",US Special Envoy Jack Pritchard meets with North Korean representative to the UN Yi Hyong chol in New York to discuss details of bilateral talks.
May,2001,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",DPRK officials and KEDO delegation engage in talks about the light water reactor project in Pyongyang. Earlier in the month Charles Kartman had been named the new executive director of KEDO.
Mar,2001,"George W. Bush, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",DPRK officials and KEDO delegation engage in talks about the light water reactor project in Pyongyang.
Dec,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",KEDO experts and DPRK officials meet in New York to discuss technical issues and North Korea's nuclear regulatory environment.
Nov,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Seventh round of missile talks in Pyongyang end without an agreement.
Oct,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",US Secretary of State Madeleine Albright visits Pyongyang and talks with Kim Jong-il on nuclear and missile issues. 
Oct,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",KEDO executive director Desaix Anderson signs a protocol related to the training of North Korean workers for the LWR project with DPRK officials in Pyongyang.
Oct,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Vice Marshal Jo Myong Rok visits Washington and meets with President Clinton. The two sides issue the US-DPRK Joint Communique in which they agree to work together on a range of issues.
Sep,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","Kim Kye-gwan and Charles Kartman meet in New York to discuss nuclear issues, NK missiles, and terrorism. The two sides issue a joint statement on terrorism in which ""the two sides agreed that international terrorism poses an unacceptable threat to global security and peace, and that terrorism should be opposed in all its forms."""
Jul,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",US Secretary of State Madeleine Albright and DPRK Foreign Minister Paek Nam Sun meet in Bangkok during the ASEAN regional forum.
Jul,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",At the 5th round of missile talks in Kuala Lumpur between the US and North Korea the US rejects Pyongyang's demand for monetary compensation in exchange for stopping missile exports but says it is willing to move toward economic normalization in return for addressing US concerns.
Jul,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",KEDO and DPRK officials meet to discuss light water reactor project in North Korea.
May,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Preparatory session for 5th round of US-DPRK missile talks held in Rome.
May,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Delegations from the US and DPRK meet in Rome to discuss their respective concerns regarding the implementation of the Agreed Framework and other bilateral issues. 
Apr,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","KEDO and DPRK officials discuss light water reactor project in Hyangsan, North Korea."
Mar,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Ambassador Charles Kartman and DPRK Vice Foreign Minister Kim Kye-gwan meet in New York. They agree to schedule further talks on US concerns on the DPRK's missile program and talks on Agreed Framework implementation.
Feb,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","KEDO and DPRK officials discuss light water reactor project in Hyangsan, North Korea."
Jan,2000,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Ambassador Charles Kartman and Vice Foreign Minister Kim Kye-gwan meet in Berlin to exchange views. They agree to a high-level visit in the near future.
Nov,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Ambassador Charles Kartman leads a delegation to Berlin to talk with DPRK Vice Foreign Minister Kim Kye-gwan and other officials.
Sep,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",KEDO and DPRK officials meet in New York to discuss technical issues and a memoradium of understanding on indemnification and environmental issues.
Sep,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Ambassador Charles Kartman leads a delegation to Berlin to talk with DPRK Vice Foreign Minister Kim Kye-gwan and other officials.
Aug,1999,"Bill Clinton, Kim Jong-il, Jiang Zemin, Kim Dae-jung",Political Dialogue (Nuclear),"US, DPRK, China, ROK",Four-Party Talks in Geneva.
Jun,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","Charles Kartman meets North Korean Vice Foreign Minister Kim Kye-gwan in Beijing to discuss the recent Kumchang-ni inspection, implementation of the agreed framework, and upcoming Four-Party talks."
May,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",US special envoy William Perry leads a delegation to Pyongyang and meets with high-ranking DPRK officials.
May,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Charles Kartman travels to Pyongyang to make final arrangements for the Kumchang-ri site inspections.
Apr,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",The US and DPRK hold further talks regarding the details of Kumchang-ri inspections on the sidelines of the Four-Party talks.
Apr,1999,"Bill Clinton, Kim Jong-il, Jiang Zemin, Kim Dae-jung",Political Dialogue (Nuclear),"US, DPRK, China, ROK",Four-Party Talks in Geneva.
Apr,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",KEDO experts and DPRK officials meet in New York to discuss technical issues and training of North Korean engineers.
Mar,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",US officials and nuclear experts travel to Pyongyang to make arrangements necessary for the Kumchang-ri site inspections.
Mar,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",A US delegation led by Assistant Secretary Robert Einhorn holds bilateral missiles talks with the DPRK side in Pyongyang.
Mar,1999,"Mohamed ElBaradei, Kim Jong-il ",Nuclear Dialogue,"IAEA, DPRK",IAEA and North Korea hold talks in Vienna over Pyongyang's denial of access to information needed to verify nuclear material.
Mar,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","After four rounds of talks, an agreement is reached to allow multiple site visits by a US team to the underground site at Kumchang-ri."
Feb,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Bilateral talks on the suspected underground site at Kumchang-ri.
Feb,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","KEDO and DPRK officials discuss light water reactor project in Hyangsan, North Korea."
Jan,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Kim Kye-gwan and Charles Kartman resume talks in Geneva about Kumchang-ri.
Jan,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","KEDO and DPRK officials discuss light water reactor project in Hyangsan, North Korea."
Jan,1999,"Bill Clinton, Kim Jong-il, Jiang Zemin, Kim Dae-jung",Political Dialogue (Nuclear),"US, DPRK, China, ROK",Four-Party Talks in Geneva.
Jan,1999,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Kim Kye-gwan and Charles Kartman talk in Geneva about allowing inspections at Kumchang-ri.
Jan,1999,"Bill Clinton, Kim Jong-il, Jiang Zemin, Kim Dae-jung",Political Dialogue (Nuclear),"US, DPRK, China, ROK",Working-level meeting to discuss arrangements for the fourth plenary session of the four-party talks.
Dec,1998,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Kim Kye-gwan and Charles Kartman resume negotiations in New York on Kumchang-ri. The two sides recognize that progress was made and agree to meet again.
Dec,1998,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Bilateral talks in New York to discuss suspected underground facility at Kumchang-ri.
Nov,1998,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",US Special Envoy for the Korean Peace Talks Charles Kartman leads a delegation to Pyongyang to discuss underground construction at Kumchang-ri. Disagreements are reported over whether the underground facilities are part of a nuclear program.
Oct,1998,"Bill Clinton, Kim Jong-il, Jiang Zemin, Kim Dae-jung",Political Dialogue (Nuclear),"US, DPRK, China, ROK",Third plenary session of the Four-party Talks in Geneva.
Oct,1998,"Mohamed ElBaradei, Kim Jong-il ",Nuclear Dialogue,"IAEA, DPRK",IAEA and DPRK officials hold talks in Pyongyang over North Korea's denial of access to information needed to verify nuclear material.
Oct,1998,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","Third round of bilateral missile talks in New York. The US delegation is led by Robert Einhorn, Deputy Assistant Secretary of State for Political-Military Affairs. The North Korean delegation is led by Han Chang On, Director of the Department of US Affairs of the DPRK Ministry of Foreign Affairs."
Sep,1998,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Delegations led by Charles Kartman and DPRK vice foreign minister Kim Kye-gwan meet in New York.”
Aug,1998,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Delegations led by Charles Kartman and DPRK vice foreign minister Kim Kye-gwan meet in New York. Pyongyang agrees to continue meetings on underground construction and missile programs and canning of remaining spent fuel rods starting in mid-September.
Jun,1998,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",US deputy assistant secretary of state for East Asia and Pacific affairs Charles Kartman and North Korea's deputy ambassador to the UN Lee Kun meet.
May,1998,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",KEDO and North Korean officials meet to discuss delivery of heavy fuel oil and other technical issues.
Mar,1998,"Bill Clinton, Kim Jong-il, Jiang Zemin, Kim Dae-jung",Political Dialogue (Nuclear),"US, DPRK, China, ROK",Second plenary session of the Four-party Talks in Geneva. There is disagreement over whether to include removal of US forces from the peninsula on the agenda.
Mar,1998,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",DPRK and US delegations led by Kim Kye-gwan and Charles Kartman respectively meet in Berlin for talks leading up to the Four-party talks.
Jan,1998,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",KEDO experts and DPRK officials meet in Pyongyang to discuss technical issues.
Dec,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",KEDO and DPRK officials hold working-level talks to discuss technical issues for light water reactor project.
Dec,1997,"Bill Clinton, Kim Jong-il, Jiang Zemin, Kim Young-sam",Political Dialogue (Nuclear),"US, DPRK, China, ROK",Four-Party Talks in Geneva.
Nov,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK","The US and North Korea have bilateral talks in Washington on a broad range of issues including the agreed framework, the four-party talks, the issue of food aid."
Nov,1997,"Bill Clinton, Kim Jong-il, Jiang Zemin, Kim Young-sam",Political Dialogue (Nuclear),"US, DPRK, China, ROK",Third preliminary talks on the Four-party Talks in New York.
Nov,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",KEDO executive director Desaix Anderson and DPRK officials meet in Pyongyang to discuss LWR project.
Sep,1997,"Bill Clinton, Kim Jong-il, Jiang Zemin, Kim Young-sam",Political Dialogue (Nuclear),"US, DPRK, China, ROK",Second preliminary talks on the Four-party Talks in New York.
Sep,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",During bilateral talks in New York the US informs North Korea that before unfreezing assets they plan to conduct a survey of the number and size of outstanding financial claims by US citizens against the DPRK.
Sep,1997,"Bill Clinton, Kim Jong-il ",Political Dialogue (Nuclear),"US, DPRK",Kim Kye-gwan and Charles Kartman talk in Beijing about high ranking North Korean defector Ambassador Chang Sung Kil and proposed four party talks.
