Month,Year,Type,Event,Description,Resources
Sep,1996,Other Provocation,Infiltration and Incursion,"A North Korean Sang-O class submarine made a failed attempt to collect a reconnaissance team on the sea shores near Gangneung, South Korea. The submarine ran aground and the North Korean agents split into groups. After 1 of the infiltrators was captured by police, ROK military conducted a 49-day long manhunt. The manhunt resulted in 6 days of clashes between North and South.",http://archive.defense.gov/news/newsarticle.aspx?id=40699
Sep,1996,Other Provocation,Exchange of Fire (Ground),Seven North Korean infiltrators (eventually killed) and South Korean soldiers exchanged fire. (1st incident of manhunt),http://www.mofa.go.kr/state/publication/whitepaper/1997/20071018/3694_file_1997_3.pdf
Sep,1996,Other Provocation,Exchange of Fire (Ground),One North Korean infiltrator (eventually killed) and South Korean soldiers exchanged fire near a hillside at the South Korean east coast. (2nd incident of manhunt),http://www.mofa.go.kr/state/publication/whitepaper/1997/20071018/3694_file_1997_3.pdf
Sep,1996,Other Provocation,Exchange of Fire (Ground),One North Korean infiltrator (eventually killed) and South Korean soldiers exchanged fire. (3rd incident of manhunt),http://www.mofa.go.kr/state/publication/whitepaper/1997/20071018/3694_file_1997_3.pdf
Sep,1996,Other Provocation,Exchange of Fire (Ground),One North Korean infiltrator (eventually killed) and South Korean soldiers exchanged fire. (4th incident of manhunt),http://www.mofa.go.kr/state/publication/whitepaper/1997/20071018/3694_file_1997_3.pdf
Sep,1996,Other Provocation,Exchange of Fire (Ground),One North Korean infiltrator (eventually killed) and South Korean soldiers exchanged fire. (Final incident of manhunt),http://www.mofa.go.kr/state/publication/whitepaper/1997/20071018/3694_file_1997_3.pdf
Nov,1996,Other Provocation,Exchange of Fire from Manhunt - Final Incident,"Two North Korean commandos and South Korean soldiers exchanged fire near the North-South border, 7 weeks after a North Korean submarine ran aground at Gangneung. Both North Koreans were killed. Of the 26 North Korean infiltrators, 24 died (11 murder-suicide, 13 killed in manhunt), 1 was captured, and 1 escaped.",http://www.nytimes.com/1996/11/06/world/one-commando-still-at-large-in-korea-submarine-manhunt.html
Apr,1997,Other Provocation,Exchange of Fire (Ground),Five North Korean soldiers opened fire at South Korean positions after crossing the Military Demarcation Line (MDL) in the Cholwon sector before the visit of U.S. Defense Secretary William Cohen to South Korea.,http://www.cnn.com/WORLD/9704/10/korea/
May,1997,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea test-fired a new anti-ship cruise missile called AG-1 from a mobile launcher. The AG-1 is believed to be based upon the CSS-C-3 Seersucker and believed to have a longer range than the Silkworm of as much as 120 km.,http://www.rense.com/general35/tested.htm
Jun,1997,Other Provocation,Territorial Provocation (Maritime),Three North Korean patrol boats travelled about 2 miles south of the Northern Limit Line in the Yellow Sea and opened fire at South Korean patrol boats.,http://www.nytimes.com/1997/06/06/world/north-korean-boats-fire-on-south-s-in-waters-controlled-by-seoul.html
Jul,1997,Other Provocation,Exchange of Fire (Ground),Fourteen North Korean soldiers intruded 50-70 meters south of the military demarcation line. The incursion led to a 23-minute exchange of gunfire and mortar rounds.,http://www.cnn.com/WORLD/9707/16/korea/
Jun,1998,Other Provocation,Infiltration and Incursion,"A North Korean Yugo-class midget submarine was seized off the coast of Sokcho after being entangled in South Korean fishing nets. When salvaged, the bodies of 9 dead North Korean crew were found in the submarine from apparent murder-suicide.",http://nkinfo.unikorea.go.kr/nkp/term/viewKnwldgDicary.do?pageIndex=1&dicaryId=192&searchCnd=0&searchWrd=
Jul,1998,Other Provocation,Infiltration and Incursion,"A presumed North Korean agent in diving gear was found dead on a beach in Donghae equipped with tools and weapons, suggesting he was on an espionage mission.",http://www.nytimes.com/1998/07/13/world/dead-diver-from-north-puts-seoul-on-alert.html
Aug,1998,Missile Provocation,Intermediate-range Ballistic Missile Launch,"North Korea test-launched a Taepodong-1, an intermediate-range ballistic missile, from the Musudan-ri launch facility on the northeast coast.",https://fas.org/sgp/crs/nuke/RS21473.pdf
Nov,1998,Other Provocation,Infiltration and Incursion,A North Korean vessel was detected off the waters of Ganghwa Island and escaped South Korea capture - the boat was allegedly on a mission to either drop off or pick up North Korean agents tasked with infiltrating South Korea.,http://nautilus.org/napsnet/napsnet-daily-report/napsnet-daily-report-23-november-1998/#item5
Dec,1998,Other Provocation,Infiltration and Incursion,The South Korean navy intercepted and sank a North Korean semi-submersible vessel attempting to land commandos on a southern part of South Korea's coast. A dead North Korean diver was recovered afterwards. The hull of the North Korean vessel was salvaged a year later.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
Mar,1999,Other Provocation,Territorial Incursion (Maritime),"Two suspicious North Korean vessels were spotted off the coast of the Noto Peninsula, Japan. The Japanese Coast Guard and Maritime Self Defense Force gave chase for 24 hours; however, the two boats escaped.",http://articles.latimes.com/1999/mar/25/news/mn-20861
Jun,1999,Other Provocation,The First Yeonpyeong Naval Campaign,North Korean patrol boats and fishing vessels crossed the Northern Limit Line (NLL) to the southwest of Yeonpyeong Island on several occasions between June 6 and June 15. The ROK navy initially conducted ramming maneuvers to force the ships back but were attacked by North Korean vessel. ROK navy retaliated and sank 1 North Korean torpedo boat and damaged 5 patrol boats. The North Koreans suffered multiple casualties while 7 South Korean sailors were wounded and 5 patrol boats were damaged.,http://www.cnn.com/WORLD/asiapcf/9906/15/korea.standoff.01/
Sep,1999,Other Provocation,Maritime Boundary Declaration,"North Korea declared a new maritime military demarcation line in protest against the NLL boundary. The maritime boundary drawn by North Korea approximates an equidistant line between the coasts of the two Koreas, ignoring five small South Korean islands running south of the NLL. The declaration was made supposedly in response to the defeat in the First Yeonpyeong Naval Campaign.",https://assets.documentcloud.org/documents/1341897/rok-position-regarding-northern-limit-line-2002.pdf
Mar,2000,Other Provocation,Maritime Boundary Declaration,North Korea unilaterally declared that based on its “Regulations Concerning Navigation in Vicinity of the Five Islands in the West Sea” any U.S. or ROK military and civilian vessels entering the region north of its military demarcation line (9/2/1999) would need to use routes designated by North Korea.,https://assets.documentcloud.org/documents/1341897/rok-position-regarding-northern-limit-line-2002.pdf
Sep,2001,Other Provocation,Territorial Incursion (Ground),A UNC guard observed a group of North Korean soldiers passing through the forward fence line. A UNC guard issued verbal warnings and fired warning shots before they retreated.,Korean Peninsula Clashes
Sep,2001,Other Provocation,Territorial Incursion (Ground),Ten to twelve North Korean soldiers crossed 30-50 meters south of the Military Demarcation Line (MDL). They retreated after the UNC issued warnings and fired warning shots.,Korean Peninsula Clashes
Nov,2001,Other Provocation,Exchange of Fire (Ground),North Korean troops fired shots at a United Nations Command guard post prompting the ROK army to return fire. There were no injuries.,http://edition.cnn.com/2001/WORLD/asiapcf/east/11/27/koreas.fire/index.html
Dec,2001,Other Provocation,Territorial Incursion (Maritime),"A North Korean vessel was spotted southwest of Kyushu, Japan on December 21, 2001, prompting the Japanese Coast Guard to chase the spotted vessel, ultimately ending in a 6-hour firefight and the sinking of the North Korean vessel. In 2002 and 2003, inspections by Japanese authorities determined that the vessel was a spy craft.",http://www.nytimes.com/2002/10/05/world/japan-says-north-korea-boat-in-sea-battle-was-a-spy-ship.html
Dec,2001,Other Provocation,Territorial Incursion (Maritime),"Japanese Coast Guard discovers a North Korean espionage vessel. After ignoring warnings to stay out of Japan's 200 nautical mile exclusive economic zone, a chase and exchange of gunfire ensued. The spy boat may have sunk itself to avoid capture.",https://fas.org/sgp/crs/row/RL30004.pdf
Jun,2002,Other Provocation,The Second Yeonpyeong Naval Campaign,Two North Korean patrol boats crossed the Northern Limit Line (NLL) and attacked South Korean patrol boats. Thirteen North Korean seamen were killed and 25 were wounded. Six South Korean seamen were killed and one patrol boat was sunk.,http://www.nytimes.com/2002/06/29/world/four-killed-as-north-and-south-korean-navy-vessels-trade-fire.html
Jan,2003,Other,Withdrawal from NPT,"North Korea announced it would withdraw from the Nuclear Nonproliferation Treaty (NPT). Under the terms of the 1994 Geneva Agreed Framework, North Korea had previously agreed to suspend its withdrawal from the NPT.","http://www.cnn.com/2003/WORLD/asiapcf/east/01/10/nkorea.treaty/"">http://www.cnn.com/2003/WORLD/asiapcf/east/01/10/nkorea.treaty/"">http://www.cnn.com/2003/WORLD/asiapcf/east/01/10/nkorea.treaty/"
Feb,2003,Other Provocation,Territorial Incursion (Air),"A North Korean MiG-19 fighter jet intruded into South Korean airspace over the Yellow Sea, the first such incursion since 1983. The ROK air force scrambled to send six fighter planes and readied ground-to-air missiles in response, but there was no clash.",http://news.bbc.co.uk/2/hi/asia-pacific/2782533.stm
Feb,2003,Missile Provocation,Anti-Ship Cruise Missile Launch,"Hours before Roh Moo-hyun's inauguration as South Korean president, North Korea conducted a failed launch of a KN-01 short-range anti-ship cruise missile. U.S. Secretary of State Colin Powell was in Seoul at the time to discuss Pyongyang's nuclear program.","http://www.cnn.com/2003/WORLD/asiapcf/east/03/09/nkorea.test/"">http://www.cnn.com/2003/WORLD/asiapcf/east/03/09/nkorea.test/"">http://www.cnn.com/2003/WORLD/asiapcf/east/03/09/nkorea.test/"
Mar,2003,Other Provocation,Aircraft Interception,Two North Korean MiG-29 fighter jets intercepted  a  U.S. air force RC-135S Cobra Ball reconnaissance plane over the East Sea. No shots were fired.,http://www.navy.mil/submit/display.asp?story_id=6146
Mar,2003,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea fired an anti-ship cruise missile from the coast of South Hamgyong province into the East Sea.,http://articles.latimes.com/2003/mar/10/world/fg-missile10
Jun,2003,Other Provocation,Territorial Incursion (Maritime),The ROK navy fired warning shots when three North Korean fishing boats crossed the Northern Limit Line (NLL).,http://articles.latimes.com/2003/jun/01/world/fg-boats1
Jul,2003,Other Provocation,Exchange of Fire (Ground),Machine-gun fire was exchanged between South and North Korean soldiers at the DMZ. There were no injuries.,http://edition.cnn.com/2003/WORLD/asiapcf/east/07/16/koreas.firing/index.html
Aug,2003,Other Provocation,Territorial Incursion (Maritime),ROK navy patrol vessels fired warning shots at two North Korean vessels that crossed the Northern Limit Line (NLL).,http://www.nytimes.com/2003/08/09/world/world-briefing-asia-south-korea-warning-shots-at-northern-vessels.html
Aug,2003,Other Provocation,Territorial Incursion (Maritime),A North Korean navy vessel crossed the Northern Limit Line (NLL) and the ROK navy fired warning shots.,https://www.fas.org/sgp/crs/row/RL30004.pdf
Oct,2003,Missile Provocation,Anti-Ship Cruise Missile Launch,"North Korea conducted its third test of an anti-ship cruise missile, modelled after the Chinese HY-2 Silkworm missile. The missile was launched from North Korea's northeast coast into the East Sea.",http://www.washingtontimes.com/news/2003/oct/20/20031020-103001-4881r/
Oct,2003,Other Provocation,Territorial Incursion (Maritime),The ROK navy fired warning shots after a North Korean patrol boat crossed the Northern Limit Line (NLL).,http://www.nytimes.com/2003/10/30/world/south-korea-fires-warning-shots-at-north-s-boat.html
Nov,2003,Other Provocation,Territorial Incursion (Maritime),The ROK navy fired warning shots after a North Korean patrol boat crossed the Northern Limit Line (NLL).,http://www.irishtimes.com/news/shots-fired-in-korea-border-dispute-1.962010
Nov,2004,Other Provocation,Territorial Incursion (Maritime),Patrol boats from South Korea fired warning shots to deter three North Korean patrol boats from crossing further south of the Northern Limit Line (NLL).,http://english.donga.com/List/3/all/26/237977/1
May,2005,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea launched a KN-01 short-range anti-ship cruise missile into the East Sea.,http://www.washingtonpost.com/wp-dyn/content/article/2005/05/01/AR2005050100204.html
Mar,2006,Missile Provocation,Short-range Missile Launch,North Korea fired 2 short-range missiles.,http://2001-2009.state.gov/r/pa/prs/dpb/2006/62778.htm
Jul,2006,Missile Provocation,Inter-Continental Ballistic Missile/Short-Range Missile Launches,"North Korea conducted three launches with a total of 7 missiles, including a failed-test of the Taepodong-2 ICBM,  Nodong MRBMs, and Scud SRBMs. The Taepodong-2 was launched from the Tonghae test facility, and the latter from Gitdaeryeong Missile Test Site.",http://2001-2009.state.gov/p/eap/rls/rm/68547.htm
Oct,2006,Nuclear Provocation,Nuclear Test,"North Korea conducted the first nuclear weapons test at the underground facility in Punggye-ri Nuclear Test Site, located in Kilju County, North Hamgyong Province.  The explosion yield was less than a kiloton.",http://georgewbush-whitehouse.archives.gov/news/releases/2006/10/20061009.html
May,2007,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired surface-to-ship missiles from both the East and West Coast.,http://2001-2009.state.gov/r/pa/prs/dpb/2007/jun/86142.htm
Jun,2007,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea fired 2 KN-01 short-range anti-ship cruise missiles from its West coast.,http://2001-2009.state.gov/r/pa/prs/dpb/2007/jun/86142.htm
Jun,2007,Missile Provocation,Short-range Ballistic Missile Launch,North Korea launched 3 KN-02 SRBMs into the East Sea from the East coast.,http://english.yonhapnews.co.kr/northkorea/2007/06/28/45/0401000000AEN20070628006500315F.HTML
Mar,2008,Missile Provocation,Anti-Ship Cruise Missile Launch,"North Korea test-fired 3 short-range missiles, believed  to be either P-20 Styx or SY-1 anti-ship cruise missiles, from its west coast into the West Sea.",http://www.cnn.com/2008/WORLD/asiapcf/03/28/nkorea.missile/index.html?eref=rss_world
May,2008,Missile Provocation,Anti-Ship Cruise Missile Launch,"North Korea fired 3 short-range ballistic missiles, believed to be Styx missiles, into the West Sea. Two out of three reportedly misfired.",http://english.yonhapnews.co.kr/northkorea/2008/05/31/43/0401000000AEN20080531001100315F.HTML
Oct,2008,Missile Provocation,Anti-Ship Cruise Missile Launch,"North Korea fired 2 short-range anti-ship cruise missiles into the Yellow Sea, likely KN-01.",http://2001-2009.state.gov/r/pa/prs/dpb/2008/oct/110799.htm
Apr,2009,Missile Provocation,Satellite Launch (Other Provocation),North Korea launched the Kwangmyongsong-2 satellite (Unha-2 ICBM) but the test is deemed a failure after the entire payload exploded mid-air and crashed into the Pacific Ocean.,http://www.washingtonpost.com/wp-dyn/content/article/2009/04/04/AR2009040403239.html
May,2009,Nuclear Provocation,Nuclear Test / Short-range missile launch,"North Korea conducted its second nuclear test at the Punggye-ri Nuclear Test Site, located in Kilju County, North Hamgyong Province.  The explosion occured underground and the explosive yield was only a few kilotons. It also attempted a short-range missile launch.",https://www.whitehouse.gov/the-press-office/statement-president-regarding-north-korea
May,2009,Missile Provocation,Short-range Missile Launch,North Korea launched 3 surface-to-ship missiles and a surface-to-air missile.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
May,2009,Missile Provocation,Short-range Missile Launch,North Korea test-fired 2 short-range missiles.,http://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201304110724185440.pdf
May,2009,Missile Provocation,Short-range Missile Launch,North Korea launched a surface-to-air missile.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
Jul,2009,Missile Provocation,Short-range Missile Launch,"North Korea test-fired 4 surface-to-ship missiles from Sinsang-ri, Hambuk Province.",http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
Jul,2009,Missile Provocation,Medium-range Ballistic Missile Launch,"North Korea launched 5 Scud missiles and 2 Nodong missiles from Gitdaeryeong, Kangwon Province.",http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdfVideo: https://www.youtube.com/watch?v=H-PRHWrIIuo
Jul,2009,Other Provocation,Fishing Boat Seizure at NLL,"North Korean patrol boat captured South Korean fishing vessel Yeonan 800, with 4 crew members for crossing the Northern Limit Line (NLL).",http://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201304110724185440.pdf
Oct,2009,Missile Provocation,Short-range Ballistic Missile Launch,"5 short-range missiles, reportedly surface-to-surface KN-02 missiles, were fired into the East Sea from its eastern coast.",http://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201304110724185440.pdf
Nov,2009,Other Provocation,Daecheong Naval Campaign,"North Korean patrol boats aimed shots at an area located at the Northern Limit Line (NLL) in the West Sea near Daecheong Island, with one of the North Korean patrol boat crossing the NLL. The patrol boat fired 50 rounds at ROK Navy vessels, and was severely damaged after retaliation from the ROK's patrol killer mediums (PKMs). One North Korean sailor was killed and three other injured.",http://www.nytimes.com/2009/11/11/world/asia/11korea.html
Jan,2010,Other Provocation,No-Sail Zone Declared,North Korea declared a no-sail zone in the West Sea from January 25 to March 29.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
Jan,2010,Other Provocation,Artillery Fire,North Korea fired about 30 artillery rounds into the West Sea toward NLL. South Korea immediately responded with 100 warning shots from a marine base near the sea border. North Korea later claimed the firing had been part of an annual military drill and firing would continue.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
Jan,2010,Other Provocation,Artillery Fire,North Korea fired artillery rounds near NLL.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
Jan,2010,Other Provocation,Artillery Fire,North Korea fired artillery rounds near NLL.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
Jan,2010,Other Provocation,No-Sail Zone Declared,North Korea announced 5 additional no-sail zones from January 31 to February 2.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
Mar,2010,Other Provocation,Sinking of the ROKS Cheonan,The ROK Navy corvette Cheonan sank in the Yellow Sea just south of the Northern Limit Line near Baengnyeong Island after an explosion in the ship's stern.,http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
Aug,2010,Other Provocation,Artillery Fire,North Korea fired artillery rounds near NLL.,http://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201304110724185440.pdf
Nov,2010,Nuclear Provocation,Uranium Enrichment Program Disclosure,"North Korea disclosed a uranium enrichment facility to Dr. Siegfried Hecker, a U.S. nuclear specialist at Stanford University",http://www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201304110724185440.pdf
Nov,2010,Other Provocation,Shelling of Yeonpyeong Island,"North Korea fired 170 artillery shots at a ROK Marine detachment and civilian residences on Yeonpyeong Island near the Northern Limit Line in the West Sea. Two ROK Marines and two civilians were killed, while 16 Marines and other civilians were injured. A total of 133 buildings on the island were damaged as a result of the attack.",http://www.mnd.go.kr/user/mnd_eng/upload/pblictn/PBLICTNEBOOK_201308080718210240.pdf
Jun,2011,Missile Provocation,Short-range Surface-to-Air Missile Launch,North Korea fired a KN-06 surface-to-air missile from North Pyongan Province into the Yellow Sea.,http://www.cnn.com/2011/WORLD/asiapcf/06/07/north.korea.missiles/
Mar,2012,Missile Provocation,Anti-Ship Cruise Missile Launch,North Korea fired 2 KN-01 short-range anti-ship cruise missiles from its west coast in North Pyongan Province.,http://english.chosun.com/site/data/html_dir/2012/03/30/2012033001081.html
Apr,2012,Missile Provocation,Satellite Launch (Other Provocation),"North Korea attempted to launch a Unha-3 rocket (ICBM), but it broke apart 81 seconds into flight, then fell into the ocean. North Korea later admitted its failure.",https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=8&cad=rja&uact=8&ved=0ahUKEwiig6LAsZbNAhVMkx4KHSyiB4gQFghPMAc&url=http%3A%2F%2Fwww.mofa.go.kr%2Fwebmodule%2Fcommon%2Fdownload.jsp%3Fboardid%3D8701%26tablename%3DTYPE_DATABOARD%26seqno%3D058fd3040ff800105efb3f8d%26fileseq%3Dfbcfd1003f93f85fd4fedf9e&usg=AFQjCNGrgQDhfmJZuJR4kDS8zHJFTaEFmQ&sig2=nsL29cSYcHu6bOeW3MX00Q
Dec,2012,Missile Provocation,Satellite Launch (Other Provocation),North Korea launched a Kwangmyongsong satellite (Unha-3 ICBM) and claimed to have successfully placed it in the orbit. Rocket was launched from the Dongchang-ri launch site towards the South.,http://www.nytimes.com/2012/12/12/world/asia/north-korea-launches-rocket-defying-likely-sanctions.html
Feb,2013,Nuclear Provocation,Nuclear Test,North Korea conducted the third underground nuclear test at Punggye-ri nuclear test site.,http://www.wsj.com/articles/SB10001424127887324880504578298943003246654
Mar,2013,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired two KN-02 short-range missiles into international waters.,https://www.nknews.org/2013/03/breaking-north-korea-launches-short-range-missiles-on-east-coast/
May,2013,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired 3 short-range missiles into the East Sea, two in the morning and another in the afternoon. The missiles launched may be modified anti-ship missiles or the KN-02 short-range ballistic missiles that has a range of 120 km.",http://www.nytimes.com/2013/05/19/world/asia/north-korea-missiles.html?_r=0
May,2013,Missile Provocation,Short-range Missile Launch,North Korea fired a short-range missile into the East Sea.,http://www.reuters.com/article/us-korea-north-missiles-idUSBRE94I04720130519
May,2013,Missile Provocation,Short-range Ballistic Missile Launch,North Korea fired 2 short-range missiles into the East Sea. The projectiles fired are thought to be KN-02 short-range missiles or 300mm artillery rockets.,https://www.nknews.org/2013/05/north-korea-launches-sixth-missile-into-east-sea/
Aug,2013,Nuclear Provocation,Nuclear Fuel Reactor Operation,North Korea starts operation of the second nuclear reactor in Yongbyon.,www.mnd.go.kr/user/mnd/upload/pblictn/PBLICTNEBOOK_201506120237036840.pdf
Feb,2014,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired 4 short-range ballistic missiles, likely Scuds, from its Gitdaeryeong area on the North's southeastern coast, into the East Sea.",http://www.reuters.com/article/us-korea-north-missiles-idUSBREA1Q0U520140227 Video: https://www.youtube.com/watch?v=5b1yNzYfruE
Mar,2014,Missile Provocation,Short-range Ballistic Missile Launch,"North Korea fired 2 short-range missiles, one from Gitdaeryeong and the other from Wonsan, into a northeasterly direction. The missiles were Scud-class, and landed in Japan's air defense identification zone (ADIZ). They landed 400-500 km northwest of Wajima, Ishikawa Prefecture, Japan.",http://www.cnn.com/2014/03/02/world/asia/north-korea-missiles/
